Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.920407,0.9160200000000001,0.39882399999999996,0.918208,58,112,41689983,11191358.000000,0.000000,2852,.,.,1597.000000,1087.000000,,1.46918123275069,2625,.,.,1453.000000,1039.000000,,1.3984600577478346,227,.,.,144.000000,48.000000,,3.0,4932,.,.,3179.000000,1638.000000,,1.9407814407814408,2716,.,.,1637.000000,1040.000000,,1.5740384615384615,249,.,.,184.000000,56.000000,,3.2857142857142856,1967,.,.,1358.000000,542.000000,,2.5055350553505535
INDEL,*,*,PASS,*,QUAL,*,0.9140950000000001,0.9236559999999999,0.382583,0.918851,47,103,41689983,11191358.000000,0.000000,2852,.,.,1597.000000,1087.000000,,1.46918123275069,2607,.,.,1447.000000,1028.000000,,1.4075875486381324,245,.,.,150.000000,59.000000,,2.542372881355932,4731,.,.,3078.000000,1543.000000,,1.9948152948801037,2698,.,.,1631.000000,1029.000000,,1.5850340136054422,223,.,.,168.000000,46.000000,,3.652173913043478,1810,.,.,1279.000000,468.000000,,2.732905982905983
INDEL,*,TS_boundary,ALL,*,QUAL,*,1.0,1.0,0.8979590000000001,1.0,0,0,41689983.000000,11191358.000000,0.000000,10,.,.,5.000000,5.000000,,1.0,10,.,.,5.000000,5.000000,,1.0,0,.,.,0.000000,0.000000,,,98,.,.,73.000000,22.000000,,3.3181818181818183,10,.,.,5.000000,5.000000,,1.0,0,.,.,0.000000,0.000000,,,88,.,.,68.000000,17.000000,,4.0
INDEL,*,TS_boundary,PASS,*,QUAL,*,1.0,1.0,0.892473,1.0,0,0,41689983.000000,11191358.000000,0.000000,10,.,.,5.000000,5.000000,,1.0,10,.,.,5.000000,5.000000,,1.0,0,.,.,0.000000,0.000000,,,93,.,.,70.000000,20.000000,,3.5,10,.,.,5.000000,5.000000,,1.0,0,.,.,0.000000,0.000000,,,83,.,.,65.000000,15.000000,,4.333333333333333
INDEL,*,TS_contained,ALL,*,QUAL,*,0.920127,0.9157360000000001,0.0,0.917926,58,112,11191358.000000,11191358.000000,0.000000,2842,.,.,1592.000000,1082.000000,,1.4713493530499075,2615,.,.,1448.000000,1034.000000,,1.4003868471953578,227,.,.,144.000000,48.000000,,3.0,2955,.,.,1816.000000,1091.000000,,1.6645279560036663,2706,.,.,1632.000000,1035.000000,,1.5768115942028986,249,.,.,184.000000,56.000000,,3.2857142857142856,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.9137930000000001,0.923394,0.0,0.918568,47,103,11191358.000000,11191358.000000,0.000000,2842,.,.,1592.000000,1082.000000,,1.4713493530499075,2597,.,.,1442.000000,1023.000000,,1.4095796676441839,245,.,.,150.000000,59.000000,,2.542372881355932,2911,.,.,1794.000000,1070.000000,,1.6766355140186915,2688,.,.,1626.000000,1024.000000,,1.587890625,223,.,.,168.000000,46.000000,,3.652173913043478,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
