Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.8162689999999999,0.925868,0.28267600000000004,0.8676209999999999,51,83,41689983,11191358.000000,0.000000,2852,.,.,1597.000000,1087.000000,,1.46918123275069,2328,.,.,1252.000000,1004.000000,,1.247011952191235,524,.,.,345.000000,83.000000,,4.156626506024097,3573,.,.,1950.000000,1582.000000,,1.2326169405815424,2373,.,.,1343.000000,1005.000000,,1.336318407960199,190,.,.,100.000000,90.000000,,1.1111111111111112,1010,.,.,507.000000,487.000000,,1.0410677618069815
INDEL,*,*,PASS,*,QUAL,*,0.8162689999999999,0.925868,0.28267600000000004,0.8676209999999999,51,83,41689983,11191358.000000,0.000000,2852,.,.,1597.000000,1087.000000,,1.46918123275069,2328,.,.,1252.000000,1004.000000,,1.247011952191235,524,.,.,345.000000,83.000000,,4.156626506024097,3573,.,.,1950.000000,1582.000000,,1.2326169405815424,2373,.,.,1343.000000,1005.000000,,1.336318407960199,190,.,.,100.000000,90.000000,,1.1111111111111112,1010,.,.,507.000000,487.000000,,1.0410677618069815
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.75,1.0,0.8636360000000001,0.857143,0,0,41689983.000000,11191358.000000,0.000000,8,.,.,4.000000,4.000000,,1.0,6,.,.,3.000000,3.000000,,1.0,2,.,.,1.000000,1.000000,,1.0,44,.,.,29.000000,15.000000,,1.9333333333333333,6,.,.,3.000000,3.000000,,1.0,0,.,.,0.000000,0.000000,,,38,.,.,26.000000,12.000000,,2.1666666666666665
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.75,1.0,0.8636360000000001,0.857143,0,0,41689983.000000,11191358.000000,0.000000,8,.,.,4.000000,4.000000,,1.0,6,.,.,3.000000,3.000000,,1.0,2,.,.,1.000000,1.000000,,1.0,44,.,.,29.000000,15.000000,,1.9333333333333333,6,.,.,3.000000,3.000000,,1.0,0,.,.,0.000000,0.000000,,,38,.,.,26.000000,12.000000,,2.1666666666666665
INDEL,*,TS_contained,ALL,*,QUAL,*,0.8164560000000001,0.925694,0.0,0.86765,51,83,11191358.000000,11191358.000000,0.000000,2844,.,.,1593.000000,1083.000000,,1.4709141274238227,2322,.,.,1249.000000,1001.000000,,1.2477522477522478,522,.,.,344.000000,82.000000,,4.195121951219512,2557,.,.,1440.000000,1092.000000,,1.3186813186813187,2367,.,.,1340.000000,1002.000000,,1.3373253493013972,190,.,.,100.000000,90.000000,,1.1111111111111112,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.8164560000000001,0.925694,0.0,0.86765,51,83,11191358.000000,11191358.000000,0.000000,2844,.,.,1593.000000,1083.000000,,1.4709141274238227,2322,.,.,1249.000000,1001.000000,,1.2477522477522478,522,.,.,344.000000,82.000000,,4.195121951219512,2557,.,.,1440.000000,1092.000000,,1.3186813186813187,2367,.,.,1340.000000,1002.000000,,1.3373253493013972,190,.,.,100.000000,90.000000,,1.1111111111111112,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,41689983.000000,11191358.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
