model,split,dF1,dF1_lo,dF1_hi,dPrecision,dP_lo,dP_hi,dRecall,dR_lo,dR_hi,dFP,dFP_lo,dFP_hi,dFN,dFN_lo,dFN_hi,significant_F1
A+B+C+D,dev,0.01662815008746954,0.012669463514585862,0.02107018212654965,0.033282210237990384,0.025529975068443345,0.04199506340163123,0.0,-0.00030348485224472864,0.00036010461193919374,-1264,-1599.025,-933.0,0,-13.0,12.0,True
A+B+C+D,holdout,0.01695052255606433,0.011760937839005201,0.023067411152228722,0.033933147151356424,0.023670521603977205,0.045931472254019105,-0.00014692918013514689,-0.0004064410782213479,0.00013416144503201056,-1184,-1648.0,-813.0,5,-4.0249999999999915,14.0,True
A+B+C+D,full,0.016782199750131732,0.013466208876611272,0.020429614889491302,0.033594049810826476,0.027029400104229585,0.040748019800851965,-7.009378548494816e-05,-0.00027473650645963577,0.00016298756210925413,-2448,-3009.0,-1947.975,5,-12.0,20.0,True
A+B+C,dev,0.016638123753348166,0.012606290960763215,0.021291005462274807,0.03363600431441671,0.02560572298681877,0.04273163248056107,-0.0003216899445084298,-0.0005060934915989967,-0.00013692160893012664,-1277,-1632.0,-939.9749999999999,12,5.0,20.0,True
A+B+C,holdout,0.017064661972396755,0.011826914451739329,0.023256864215158813,0.034436913877424424,0.02401283683063181,0.04664052409705733,-0.0004114017043784779,-0.0008088722418689659,-2.7270366115073044e-05,-1201,-1672.025,-832.9749999999999,14,1.0,28.0,True
A+B+C,full,0.016841919814681083,0.013452921866343805,0.02060341485082469,0.034019580990868103,0.02733918075179245,0.041498079058034,-0.00036448768452179703,-0.0005787486080389203,-0.00016171837680515328,-2478,-3053.025,-1967.9499999999998,26,11.0,42.0,True
A+B+D,dev,0.014863145305414882,0.011417498757733138,0.01906669196545245,0.029861024525840718,0.02303982703865456,0.03808716900050378,-0.0001608449722542149,-0.0003385866845745322,-2.6251957151707248e-05,-1138,-1426.025,-853.0,6,1.0,13.0,True
A+B+D,holdout,0.015928104532413334,0.010675741310584705,0.022134771618200506,0.031801442646569256,0.02137761229104845,0.04390126002130889,-8.815750808111034e-05,-0.00018335095166838454,0.0,-1112,-1591.075,-729.0,3,0.0,6.0,True
A+B+D,full,0.015371771474356422,0.012255342246538448,0.018872476654822654,0.030789518786015435,0.024621600045101128,0.03766921740804309,-0.0001261688138729511,-0.00022741090765786843,-4.2512049181783736e-05,-2250,-2809.025,-1777.0,9,3.0,17.0,True
A+B,dev,0.014863145305414882,0.011417498757733138,0.01906669196545245,0.029861024525840718,0.02303982703865456,0.03808716900050378,-0.0001608449722542149,-0.0003385866845745322,-2.6251957151707248e-05,-1138,-1426.025,-853.0,6,1.0,13.0,True
A+B,holdout,0.015928104532413334,0.010675741310584705,0.022134771618200506,0.031801442646569256,0.02137761229104845,0.04390126002130889,-8.815750808111034e-05,-0.00018335095166838454,0.0,-1112,-1591.075,-729.0,3,0.0,6.0,True
A+B,full,0.015371771474356422,0.012255342246538448,0.018872476654822654,0.030789518786015435,0.024621600045101128,0.03766921740804309,-0.0001261688138729511,-0.00022741090765786843,-4.2512049181783736e-05,-2250,-2809.025,-1777.0,9,3.0,17.0,True
A+C+D,dev,0.016615054733738588,0.012683863278235025,0.021030515107886418,0.033227782906915304,0.02547812884155761,0.04193407186293452,2.6807495375757995e-05,-0.00026024831922971393,0.00037601007863176394,-1262,-1598.0,-933.0,-1,-14.0,10.0,True
A+C+D,holdout,0.01695052255606433,0.011760937839005201,0.023067411152228722,0.033933147151356424,0.023670521603977205,0.045931472254019105,-0.00014692918013514689,-0.0004064410782213479,0.00013416144503201056,-1184,-1648.0,-813.0,5,-4.0249999999999915,14.0,True
A+C+D,full,0.01677536346728259,0.013466550032573929,0.02041953089441597,0.03356568657379544,0.027001574984882933,0.040717430309411246,-5.607502838789191e-05,-0.00025416644182963685,0.0001721441298102506,-2446,-3008.025,-1944.975,4,-12.0,18.0,True
A+C,dev,0.016638123753348166,0.012606290960763215,0.021291005462274807,0.03363600431441671,0.02560572298681877,0.04273163248056107,-0.0003216899445084298,-0.0005060934915989967,-0.00013692160893012664,-1277,-1632.0,-939.9749999999999,12,5.0,20.0,True
