variant,split,TP,FP,FN,precision,recall,F1,FP_gt,FP_al,TiTv,het_hom,query_total,query_unk
B1: cap 24,dev,36581,1283,722,0.966116,0.980645,0.973326,17,72,2.1785010293924394,1.808670408360751,72562,34698
B1: cap 24,holdout,33422,1276,608,0.963226,0.982133,0.972588,21,81,2.1785010293924394,1.808670408360751,72562,37864
B1: cap 24,full,70003,2559,1330,0.964734,0.981355,0.972973,38,153,2.1785010293924394,1.808670408360751,72562,0
B2: cap 48 (= V2 control PB input),dev,36588,1326,715,0.965026,0.980833,0.972865,17,76,2.1721383043744,1.812502419198761,72661,34747
B2: cap 48 (= V2 control PB input),holdout,33424,1323,606,0.961925,0.982192,0.971953,21,83,2.1721383043744,1.812502419198761,72661,37914
B2: cap 48 (= V2 control PB input),full,70012,2649,1321,0.963543,0.981481,0.972429,38,159,2.1721383043744,1.812502419198761,72661,0
B3: cap 64,dev,36586,1351,717,0.964388,0.980779,0.972515,17,80,2.169783357307877,1.814708728469131,72718,34781
B3: cap 64,holdout,33426,1355,604,0.961042,0.982251,0.971531,21,83,2.169783357307877,1.814708728469131,72718,37937
B3: cap 64,full,70012,2706,1321,0.962788,0.981481,0.972045,38,163,2.169783357307877,1.814708728469131,72718,0
B4: cap 96,dev,36589,1401,714,0.963122,0.980859,0.97191,17,80,2.166746421890634,1.817650474162957,72794,34804
B4: cap 96,holdout,33426,1378,604,0.960407,0.982251,0.971206,21,84,2.166746421890634,1.817650474162957,72794,37990
B4: cap 96,full,70015,2779,1318,0.961824,0.981523,0.971574,38,164,2.166746421890634,1.817650474162957,72794,0
B5: cap 128,dev,36589,1429,714,0.962413,0.980859,0.971548,17,82,2.1636347848738766,1.8205148054964195,72868,34850
B5: cap 128,holdout,33426,1424,604,0.959139,0.982251,0.970557,21,84,2.1636347848738766,1.8205148054964195,72868,38018
B5: cap 128,full,70015,2853,1318,0.960847,0.981523,0.971075,38,166,2.1636347848738766,1.8205148054964195,72868,0
all admitted reads (no cap),dev,36589,1496,714,0.960719,0.980859,0.970685,17,85,2.155881208662949,1.8258176891813431,73005,34920
all admitted reads (no cap),holdout,33426,1494,604,0.957216,0.982251,0.969572,21,85,2.155881208662949,1.8258176891813431,73005,38085
all admitted reads (no cap),full,70015,2990,1318,0.959044,0.981523,0.970153,38,170,2.155881208662949,1.8258176891813431,73005,0
B6a: median PB over disjoint 48-read blocks,dev,36589,1280,714,0.966199,0.980859,0.973474,17,76,2.179277108433735,1.8088639442616603,72567,34698
B6a: median PB over disjoint 48-read blocks,holdout,33425,1273,605,0.963312,0.982222,0.972675,21,77,2.179277108433735,1.8088639442616603,72567,37869
B6a: median PB over disjoint 48-read blocks,full,70014,2553,1319,0.964819,0.981509,0.973092,38,153,2.179277108433735,1.8088639442616603,72567,0
B6c: max PB over blocks,dev,36589,1477,714,0.961199,0.980859,0.97093,17,84,2.1571614019904803,1.8241532804335203,72962,34896
B6c: max PB over blocks,holdout,33426,1470,604,0.957875,0.982251,0.96991,21,85,2.1571614019904803,1.8241532804335203,72962,38066
B6c: max PB over blocks,full,70015,2947,1318,0.959609,0.981523,0.970442,38,169,2.1571614019904803,1.8241532804335203,72962,0
B6b: min PB over blocks (dev-selected),dev,36583,1232,720,0.96742,0.980699,0.974014,17,70,2.1843516483516483,1.804102961099284,72444,34629
B6b: min PB over blocks (dev-selected),holdout,33423,1206,607,0.965174,0.982163,0.973594,21,73,2.1843516483516483,1.804102961099284,72444,37815
B6b: min PB over blocks (dev-selected),full,70006,2438,1327,0.966346,0.981397,0.973814,38,143,2.1843516483516483,1.804102961099284,72444,0
