pb_variant,band_w,split,n_uncertain_with_PB,F1,TP,FP,FN,clf_correct_in_band,pb_correct_in_band
pb24,0.0,dev,0,0.9895,36576,49,727,0,0
pb24,0.0,holdout,0,0.98902,33410,122,620,0,0
pb24,0.02,dev,3,0.98949,36575,49,728,1,0
pb24,0.02,holdout,1,0.98902,33410,122,620,1,1
pb24,0.05,dev,5,0.98949,36575,49,728,2,1
pb24,0.05,holdout,4,0.989,33410,123,620,2,1
pb24,0.1,dev,11,0.98946,36573,49,730,6,3
pb24,0.1,holdout,10,0.98902,33410,122,620,4,4
pb24,0.2,dev,27,0.98942,36570,49,733,17,11
pb24,0.2,holdout,13,0.989,33410,123,620,5,4
pb24,0.3,dev,45,0.9893,36565,53,738,33,18
pb24,0.3,holdout,28,0.989,33408,121,622,11,10
pb24,0.5,dev,81,0.98911,36563,65,740,61,32
pb24,0.5,holdout,114,0.98905,33405,115,625,51,53
pb48,0.0,dev,0,0.9895,36576,49,727,0,0
pb48,0.0,holdout,0,0.98902,33410,122,620,0,0
pb48,0.02,dev,3,0.98953,36578,49,725,1,3
pb48,0.02,holdout,1,0.989,33410,123,620,1,0
pb48,0.05,dev,5,0.98954,36579,49,724,2,5
pb48,0.05,holdout,4,0.989,33411,124,619,2,1
pb48,0.1,dev,11,0.98953,36578,49,725,6,8
pb48,0.1,holdout,10,0.989,33411,124,619,4,3
pb48,0.2,dev,27,0.98953,36578,49,725,17,19
pb48,0.2,holdout,13,0.989,33412,125,618,5,4
pb48,0.3,dev,45,0.98946,36577,53,726,33,30
pb48,0.3,holdout,28,0.98899,33412,126,618,11,9
pb48,0.5,dev,81,0.9893,36578,66,725,61,46
pb48,0.5,holdout,114,0.98886,33410,133,620,51,40
pbblk_min,0.0,dev,0,0.9895,36576,49,727,0,0
pbblk_min,0.0,holdout,0,0.98902,33410,122,620,0,0
pbblk_min,0.02,dev,3,0.98949,36575,49,728,1,0
pbblk_min,0.02,holdout,1,0.98902,33410,122,620,1,1
pbblk_min,0.05,dev,5,0.98948,36574,49,729,2,0
pbblk_min,0.05,holdout,4,0.98902,33410,122,620,2,2
pbblk_min,0.1,dev,11,0.98945,36572,49,731,6,2
pbblk_min,0.1,holdout,10,0.98902,33410,122,620,4,4
pbblk_min,0.2,dev,27,0.98938,36567,49,736,17,8
pbblk_min,0.2,holdout,13,0.98902,33410,122,620,5,5
pbblk_min,0.3,dev,45,0.98933,36565,51,738,33,20
pbblk_min,0.3,holdout,28,0.98902,33409,121,621,11,11
pbblk_min,0.5,dev,81,0.98921,36563,58,740,61,39
pbblk_min,0.5,holdout,114,0.98897,33407,122,623,51,48
pb0,0.0,dev,0,0.9895,36576,49,727,0,0
pb0,0.0,holdout,0,0.98902,33410,122,620,0,0
pb0,0.02,dev,3,0.98953,36578,49,725,1,3
pb0,0.02,holdout,1,0.989,33410,123,620,1,0
pb0,0.05,dev,5,0.98954,36579,49,724,2,5
pb0,0.05,holdout,4,0.989,33411,124,619,2,1
pb0,0.1,dev,11,0.98957,36581,49,722,6,11
pb0,0.1,holdout,10,0.98897,33411,126,619,4,1
pb0,0.2,dev,27,0.98959,36583,50,720,17,23
pb0,0.2,holdout,13,0.98897,33412,127,618,5,2
pb0,0.3,dev,45,0.98951,36584,57,719,33,33
pb0,0.3,holdout,28,0.98899,33415,129,615,11,9
pb0,0.5,dev,81,0.98936,36588,72,715,61,50
pb0,0.5,holdout,114,0.98883,33416,141,614,51,38
