plan,model,threads,cache,rep,wall_s,user_s,sys_s,cpu_pct,peak_rss_mb,n_loci,loci_per_s,n_pb_evaluated,n_candidates,n_calls,vcf_md5,date
warmup,V2_CONTROL,8,warm,0,126.69,780.51,12.68,626,217.0,56266816,444130,707,0,72661,10f6b58bbdc45ce859a6c553283234d8,2026-09-25 16:54:29
warm8,A,8,warm,1,130.52,790.07,12.2,614,221.0,56266816,431097,707,163705,70427,0390cf89e93f1203a446a21ab6a5267e,2026-09-25 16:56:40
warm8,C,8,warm,1,130.52,788.2,12.54,613,221.3,56266816,431097,33,163705,70135,67bb83b89a949b100bb000debac3a726,2026-09-25 16:58:50
warm8,A+C,8,warm,1,129.68,790.45,12.54,619,220.9,56266816,433890,33,163705,70157,f98b4b79f72414830c36e09d1f1ccb25,2026-09-25 17:01:00
warm8,A+B+C+D,8,warm,1,128.01,789.38,11.97,625,221.7,56266816,439550,36,163705,70208,ca8799e0c039bfec76e8e61917afc7b4,2026-09-25 17:03:09
warm8,V2_CONTROL,8,warm,1,127.28,783.01,11.7,624,218.6,56266816,442071,707,0,72661,10f6b58bbdc45ce859a6c553283234d8,2026-09-25 17:05:16
warm8,C,8,warm,2,131.72,788.44,12.24,607,219.8,56266816,427170,33,163705,70135,67bb83b89a949b100bb000debac3a726,2026-09-25 17:07:28
warm8,A+C,8,warm,2,127.96,789.99,12.37,627,221.0,56266816,439722,33,163705,70157,f98b4b79f72414830c36e09d1f1ccb25,2026-09-25 17:09:36
warm8,A+B+C+D,8,warm,2,131.8,790.37,12.67,609,221.9,56266816,426911,36,163705,70208,ca8799e0c039bfec76e8e61917afc7b4,2026-09-25 17:11:48
warm8,V2_CONTROL,8,warm,2,129.89,781.72,11.89,610,216.9,56266816,433188,707,0,72661,10f6b58bbdc45ce859a6c553283234d8,2026-09-25 17:13:58
warm8,A,8,warm,2,124.73,793.0,11.47,644,221.2,56266816,451109,707,163705,70427,0390cf89e93f1203a446a21ab6a5267e,2026-09-25 17:16:03
warm8,A+C,8,warm,3,119.28,795.09,11.69,676,220.6,56266816,471720,33,163705,70157,f98b4b79f72414830c36e09d1f1ccb25,2026-09-25 17:18:03
warm8,A+B+C+D,8,warm,3,120.36,797.97,11.54,672,220.0,56266816,467488,36,163705,70208,ca8799e0c039bfec76e8e61917afc7b4,2026-09-25 17:20:03
warm8,V2_CONTROL,8,warm,3,118.39,784.65,11.22,672,218.1,56266816,475267,707,0,72661,10f6b58bbdc45ce859a6c553283234d8,2026-09-25 17:22:02
warm8,A,8,warm,3,119.31,795.84,11.35,676,219.9,56266816,471602,707,163705,70427,0390cf89e93f1203a446a21ab6a5267e,2026-09-25 17:24:01
warm8,C,8,warm,3,119.5,795.26,10.72,674,220.3,56266816,470852,33,163705,70135,67bb83b89a949b100bb000debac3a726,2026-09-25 17:26:01
cold8,V2_CONTROL,8,cold,1,160.14,740.91,11.79,470,217.5,56266816,351360,707,0,72661,10f6b58bbdc45ce859a6c553283234d8,2026-09-25 17:28:42
cold8,A+C,8,cold,1,160.83,746.03,11.72,471,218.0,56266816,349853,33,163705,70157,f98b4b79f72414830c36e09d1f1ccb25,2026-09-25 17:31:24
cold8,A+B+C+D,8,cold,1,159.26,747.31,11.67,476,219.2,56266816,353302,36,163705,70208,ca8799e0c039bfec76e8e61917afc7b4,2026-09-25 17:34:05
scaling,V2_CONTROL,4,warm,1,172.81,673.54,5.97,393,156.4,56266816,325599,707,0,72661,10f6b58bbdc45ce859a6c553283234d8,2026-09-25 17:36:58
scaling,A+C,4,warm,1,174.48,681.53,5.97,394,158.0,56266816,322483,33,163705,70157,f98b4b79f72414830c36e09d1f1ccb25,2026-09-25 17:39:53
scaling,A+B+C+D,4,warm,1,174.76,681.78,6.22,393,157.6,56266816,321966,36,163705,70208,ca8799e0c039bfec76e8e61917afc7b4,2026-09-25 17:42:48
scaling,V2_CONTROL,2,warm,1,297.39,582.28,5.12,197,124.4,56266816,189202,707,0,72661,10f6b58bbdc45ce859a6c553283234d8,2026-09-25 17:47:45
scaling,A+C,2,warm,1,298.41,585.43,5.26,197,125.1,56266816,188555,33,163705,70157,f98b4b79f72414830c36e09d1f1ccb25,2026-09-25 17:52:44
scaling,A+B+C+D,2,warm,1,301.92,592.32,5.27,197,124.7,56266816,186363,36,163705,70208,ca8799e0c039bfec76e8e61917afc7b4,2026-09-25 17:57:46
scaling,V2_CONTROL,1,warm,1,548.13,537.73,4.62,98,107.8,56266816,102652,707,0,72661,10f6b58bbdc45ce859a6c553283234d8,2026-09-25 18:06:54
scaling,A+C,1,warm,1,566.36,555.58,4.49,98,108.1,56266816,99348,33,163705,70157,f98b4b79f72414830c36e09d1f1ccb25,2026-09-25 18:16:21
scaling,A+B+C+D,1,warm,1,561.98,552.38,4.3,99,107.9,56266816,100122,36,163705,70208,ca8799e0c039bfec76e8e61917afc7b4,2026-09-25 18:25:43
