suite,date,check,n,mismatches,status,detail
gate_scalar_4threads,2026-09-24,counts_cols0-8_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,reference_index_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,label_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,frame_flag_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,binomial_llr_bit_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,candidate_alt_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,k_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,n_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,router_mask_exact,3491,0,PASS,"routed=707"
gate_scalar_4threads,2026-09-24,binomial_call_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,unevaluated_loci_are_exactly_V1_padding_rows_with_depth0,3491,0,PASS,"n_unevaluated=37"
gate_scalar_4threads,2026-09-24,pb_llr_bit_exact_vs_v1_cache,3491,0,PASS,"max_abs_diff=0"
gate_scalar_4threads,2026-09-24,pb_call_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,cascade_call_exact,3491,0,PASS,"frame loci only"
gate_scalar_4threads,2026-09-24,v1_tensor_rows_byte_exact(48x8 per locus),3491,0,PASS,"bytes compared=1340544; loci with real reads=3454"
gate_scalar_4threads,2026-09-24,n_counted_tensor_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,k_tensor_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,counts_cols0-8_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,reference_index_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,label_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,frame_flag_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,binomial_llr_bit_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,candidate_alt_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,k_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,n_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,router_mask_exact,3491,0,PASS,"routed=707"
gate_scalar_4threads,2026-09-24,binomial_call_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,unevaluated_loci_are_exactly_V1_padding_rows_with_depth0,3491,0,PASS,"n_unevaluated=37"
gate_scalar_4threads,2026-09-24,pb_llr_bit_exact_vs_v1_cache,3491,0,PASS,"max_abs_diff=0"
gate_scalar_4threads,2026-09-24,pb_call_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,cascade_call_exact,3491,0,PASS,"frame loci only"
gate_scalar_4threads,2026-09-24,v1_tensor_rows_byte_exact(48x8 per locus),3491,0,PASS,"bytes compared=1340544; loci with real reads=3454"
gate_scalar_4threads,2026-09-24,n_counted_tensor_exact,3491,0,PASS,""
gate_scalar_4threads,2026-09-24,k_tensor_exact,3491,0,PASS,""
gate_vcf_4threads,2026-09-24,vcf_header_identical,1,0,PASS,"windows of 3491 gate loci"
gate_vcf_4threads,2026-09-24,vcf_record_lines_byte_identical,1713,0,PASS,"windows of 3491 gate loci"
gate_vcf_4threads,2026-09-24,vcf_record_count_equal,1713,0,PASS,"windows of 3491 gate loci"
gate_fused_4threads,2026-09-24,counts_cols0-8_exact,3491,0,PASS,""
gate_fused_4threads,2026-09-24,reference_index_exact,3491,0,PASS,""
gate_fused_4threads,2026-09-24,label_exact,3491,0,PASS,""
gate_fused_4threads,2026-09-24,frame_flag_exact,3491,0,PASS,""
gate_fused_4threads,2026-09-24,binomial_llr_bit_exact,3491,0,PASS,""
gate_fused_4threads,2026-09-24,candidate_alt_exact,3491,0,PASS,""
gate_fused_4threads,2026-09-24,k_exact,3491,0,PASS,""
gate_fused_4threads,2026-09-24,n_exact,3491,0,PASS,""
gate_fused_4threads,2026-09-24,router_mask_exact,3491,0,PASS,"routed=707"
gate_fused_4threads,2026-09-24,binomial_call_exact,3491,0,PASS,""
gate_fused_4threads,2026-09-24,unevaluated_loci_are_exactly_V1_padding_rows_with_depth0,3491,0,PASS,"n_unevaluated=37"
gate_fused_4threads,2026-09-24,pb_llr_bit_exact_vs_v1_cache,3491,0,PASS,"max_abs_diff=0"
gate_fused_4threads,2026-09-24,pb_call_exact,3491,0,PASS,""
gate_fused_4threads,2026-09-24,cascade_call_exact,3491,0,PASS,"frame loci only"
gate_fused_4threads,2026-09-24,v1_tensor_rows_byte_exact(48x8 per locus),3491,0,PASS,"bytes compared=1340544; loci with real reads=3454"
gate_fused_4threads,2026-09-24,n_counted_tensor_exact,3491,0,PASS,""
gate_fused_4threads,2026-09-24,k_tensor_exact,3491,0,PASS,""
gate_vcf_fused,2026-09-24,vcf_header_identical,1,0,PASS,"windows of 3491 gate loci"
gate_vcf_fused,2026-09-24,vcf_record_lines_byte_identical,1713,0,PASS,"windows of 3491 gate loci"
gate_vcf_fused,2026-09-24,vcf_record_count_equal,1713,0,PASS,"windows of 3491 gate loci"
slice_fused,2026-09-24,binomial_llr_bit_exact_all_slice_loci,524288,0,PASS,"windows 400000..408192"
slice_fused,2026-09-24,pb_llr_bit_exact_all_slice_loci,524288,0,PASS,"windows 400000..408192"
slice_fused,2026-09-24,pb_call_exact_frame,524000,0,PASS,"windows 400000..408192"
slice_fused,2026-09-24,router_mask_exact_frame,524000,0,PASS,"windows 400000..408192"
slice_exact,2026-09-24,binomial_llr_bit_exact_all_slice_loci,524288,0,PASS,"windows 400000..408192"
slice_exact,2026-09-24,pb_llr_bit_exact_all_slice_loci,524288,0,PASS,"windows 400000..408192"
slice_exact,2026-09-24,pb_call_exact_frame,524000,0,PASS,"windows 400000..408192"
slice_exact,2026-09-24,router_mask_exact_frame,524000,0,PASS,"windows 400000..408192"
gate_fused_lazy_4threads,2026-09-24,counts_cols0-8_exact,3491,0,PASS,""
gate_fused_lazy_4threads,2026-09-24,reference_index_exact,3491,0,PASS,""
gate_fused_lazy_4threads,2026-09-24,label_exact,3491,0,PASS,""
gate_fused_lazy_4threads,2026-09-24,frame_flag_exact,3491,0,PASS,""
gate_fused_lazy_4threads,2026-09-24,binomial_llr_bit_exact,3491,0,PASS,""
gate_fused_lazy_4threads,2026-09-24,candidate_alt_exact,3491,0,PASS,""
gate_fused_lazy_4threads,2026-09-24,k_exact,3491,0,PASS,""
gate_fused_lazy_4threads,2026-09-24,n_exact,3491,0,PASS,""
gate_fused_lazy_4threads,2026-09-24,router_mask_exact,3491,0,PASS,"routed=707"
gate_fused_lazy_4threads,2026-09-24,binomial_call_exact,3491,0,PASS,""
gate_fused_lazy_4threads,2026-09-24,unevaluated_loci_are_exactly_V1_padding_rows_with_depth0,3491,0,PASS,"n_unevaluated=37"
gate_fused_lazy_4threads,2026-09-24,pb_llr_bit_exact_vs_v1_cache,3491,0,PASS,"max_abs_diff=0"
gate_fused_lazy_4threads,2026-09-24,pb_call_exact,3491,0,PASS,""
gate_fused_lazy_4threads,2026-09-24,cascade_call_exact,3491,0,PASS,"frame loci only"
gate_fused_lazy_4threads,2026-09-24,v1_tensor_rows_byte_exact(48x8 per locus),3491,0,PASS,"bytes compared=1340544; loci with real reads=3454"
gate_fused_lazy_4threads,2026-09-24,n_counted_tensor_exact,3491,0,PASS,""
gate_fused_lazy_4threads,2026-09-24,k_tensor_exact,3491,0,PASS,""
x,2026-09-24,counts_cols0-8_exact,3491,0,PASS,""
x,2026-09-24,reference_index_exact,3491,0,PASS,""
x,2026-09-24,label_exact,3491,0,PASS,""
x,2026-09-24,frame_flag_exact,3491,0,PASS,""
x,2026-09-24,binomial_llr_bit_exact,3491,0,PASS,""
x,2026-09-24,candidate_alt_exact,3491,0,PASS,""
x,2026-09-24,k_exact,3491,0,PASS,""
x,2026-09-24,n_exact,3491,0,PASS,""
x,2026-09-24,router_mask_exact,3491,0,PASS,"routed=707"
x,2026-09-24,binomial_call_exact,3491,0,PASS,""
x,2026-09-24,unevaluated_loci_are_exactly_V1_padding_rows_with_depth0,3491,0,PASS,"n_unevaluated=37"
x,2026-09-24,pb_llr_bit_exact_vs_v1_cache,3491,0,PASS,"max_abs_diff=0"
x,2026-09-24,pb_call_exact,3491,0,PASS,""
x,2026-09-24,cascade_call_exact,3491,0,PASS,"frame loci only"
