model,mechanism,A,B,C,D,development_or_holdout,TP,FP,FN,precision,recall,F1,FP_gt,FP_al,TiTv,het_hom,query_total,query_unk,pb_evaluations,pb_fraction,notes
V2_CONTROL,control,0,0,0,0,development (fitted on this region; hap.py on dev BED),36588,1326,715,0.965026,0.980833,0.972865,17,76,2.1721383043744,1.812502419198761,72661,34747,707,1.2570520933588943e-05,frozen V2: Binomial>=7.0; router cutoff 5.4119 -> PB(48 reads)>=10.5; runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2_CONTROL,control,0,0,0,0,holdout (never used for fitting; hap.py on holdout BED),33424,1323,606,0.961925,0.982192,0.971953,21,83,2.1721383043744,1.812502419198761,72661,37914,707,1.2570520933588943e-05,frozen V2: Binomial>=7.0; router cutoff 5.4119 -> PB(48 reads)>=10.5; runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2_CONTROL,control,0,0,0,0,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",70012,2649,1321,0.963543,0.981481,0.972429,38,159,2.1721383043744,1.812502419198761,72661,0,707,1.2570520933588943e-05,frozen V2: Binomial>=7.0; router cutoff 5.4119 -> PB(48 reads)>=10.5; runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2.x_A,A,1,0,0,0,development (fitted on this region; hap.py on dev BED),36587,193,716,0.994753,0.980806,0.98773,17,36,2.300388959182717,1.7262416289242442,70427,33647,707,1.2570520933588943e-05,V2 + 1 dev-fitted hard veto on a cheap read-evidence feature; runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2.x_A,A,1,0,0,0,holdout (never used for fitting; hap.py on holdout BED),33422,225,608,0.993313,0.982133,0.987692,21,56,2.300388959182717,1.7262416289242442,70427,36780,707,1.2570520933588943e-05,V2 + 1 dev-fitted hard veto on a cheap read-evidence feature; runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2.x_A,A,1,0,0,0,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",70009,418,1324,0.994065,0.981439,0.987712,38,92,2.300388959182717,1.7262416289242442,70427,0,707,1.2570520933588943e-05,V2 + 1 dev-fitted hard veto on a cheap read-evidence feature; runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2.x_B,B,0,1,0,0,development (fitted on this region; hap.py on dev BED),36583,1232,720,0.96742,0.980699,0.974014,17,70,2.1843516483516483,1.804102961099284,72444,34629,707,1.2570520933588943e-05,V2 with PB on 48-read hash-blocks (block-min) instead of first-48 for routed loci; thr 10.5 frozen; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_B,B,0,1,0,0,holdout (never used for fitting; hap.py on holdout BED),33423,1206,607,0.965174,0.982163,0.973594,21,73,2.1843516483516483,1.804102961099284,72444,37815,707,1.2570520933588943e-05,V2 with PB on 48-read hash-blocks (block-min) instead of first-48 for routed loci; thr 10.5 frozen; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_B,B,0,1,0,0,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",70006,2438,1327,0.966346,0.981397,0.973814,38,143,2.1843516483516483,1.804102961099284,72444,0,707,1.2570520933588943e-05,V2 with PB on 48-read hash-blocks (block-min) instead of first-48 for routed loci; thr 10.5 frozen; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
V2.x_C,C,0,0,1,0,development (fitted on this region; hap.py on dev BED),36512,80,791,0.997814,0.978795,0.988213,20,18,2.30326865109269,1.7176734994381369,70135,33543,33,5.867428441420581e-07,logistic classifier on existing Binomial/router outputs only; runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2.x_C,C,0,0,1,0,holdout (never used for fitting; hap.py on holdout BED),33390,153,640,0.995439,0.981193,0.988265,21,29,2.30326865109269,1.7176734994381369,70135,36592,33,5.867428441420581e-07,logistic classifier on existing Binomial/router outputs only; runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2.x_C,C,0,0,1,0,"full_chr20 (dev+holdout mixed: engineering benchmark, NOT independent)",69902,233,1431,0.996678,0.979939,0.988238,41,47,2.30326865109269,1.7176734994381369,70135,0,33,5.867428441420581e-07,logistic classifier on existing Binomial/router outputs only; runtime=median of 3 warm 8-thread reps (interleaved); pb_evaluations counted on the full chr20 run
V2.x_D,D,0,0,0,1,development (fitted on this region; hap.py on dev BED),36381,846,922,0.977275,0.975283,0.976278,13,47,2.212369463449766,1.7749436192549966,71366,34139,707,1.2570520933588943e-05,V2 + 1 dev-fitted hard veto on a local-context feature; runtime=NOT separately timed (single pipeline run 118-169 s for the same binary depending on page-cache state: not comparable); compute path identical to a timed model; pb_evaluations counted on the full chr20 run
