experiment_id,sample,region,methodology,metric,value,note
HG005_postfix,HG005,chr1:1000001-4000000,per_locus_rescue_definition,pb_rescuable_loci,142,"PB-only correct AND binomial-only wrong, among 2402190 scored loci"
HG005_postfix,HG005,chr1:1000001-4000000,per_locus_rescue_definition,rescued_by_router,140,""
HG005_postfix,HG005,chr1:1000001-4000000,per_locus_rescue_definition,rescue_recall,0.9859154929577465,"140/142"
HG005_postfix,HG005,chr1:1000001-4000000,per_locus_rescue_definition,missed_rescue,2,"median depth 11.5, VAF 0.368, neither in lowmap_segdup"
HG005_postfix,HG005,chr1:1000001-4000000,per_locus_rescue_definition,routed_total,1600,""
HG005_postfix,HG005,chr1:1000001-4000000,per_locus_rescue_definition,false_rescue_count,9,"routed & binomial_correct & pb_wrong"
HG005_postfix,HG005,chr1:1000001-4000000,per_locus_rescue_definition,false_rescue_rate,0.005625,"9/1600"
HG005_postfix,HG005,chr1:1000001-4000000,per_locus_rescue_definition,unnecessary_pb_rate,0.88125,"1410/1600 -- routed loci where binomial was already correct, router design is deliberately high-recall-toward-PB"
HG005_postfix,HG005,chr1:1000001-4000000,per_locus_rescue_definition,rescuable_in_lowmap_segdup,7,"7/142"
v13_robustness,HG002,chr21 (multi-region pool),paired_bootstrap_delta_f1,fraction_routed_to_pb,0.001084186361112119,"Different methodology from HG005's per-locus rescue definition -- reports routing fraction + bootstrapped cascade-vs-PB F1 delta, not a rescuable/rescued/missed breakdown"
v14_crosschrom,HG002,"chr20/19/4/1",paired_bootstrap_delta_f1,fraction_routed_to_pb,0.0007038913094596703,"delta_f1=0.00058, CI95=[0.000075,0.00109], p=0.0228 (bootstrap, 10000 resamples, seed 20260812) -- statistically real but small"
v15_safety_test,HG002,"chr16/15/7/14",paired_bootstrap_delta_f1,fraction_routed_to_pb,0.0005809212940079727,"delta_f1=0.00269 on this held-out test set; verdict WEAK POSITIVE / NEGATIVE depending on acceptance rule -- see BENCHMARK_MASTER.csv"
v16_unseen_chr13,HG002,chr13,paired_bootstrap_delta_f1,fraction_routed_to_pb,0.000392127608545265,"delta_f1=-0.00003, verdict PRESERVED (not improved, not degraded)"
v17_unseen_chr17,HG002,chr17:18-21Mb,paired_bootstrap_delta_f1,fraction_routed_to_pb,0.0005822835270787515,"delta_f1=0.0019, verdict IMPROVED"
v18_crosssample_HG003,HG003,chr13:70-73Mb,paired_bootstrap_delta_f1,fraction_routed_to_pb,0.00040946256256891434,"delta_f1=0.0003, verdict IMPROVED"
v19_validation_round2_HG004,HG004,"chr2/3/5",paired_bootstrap_delta_f1,fraction_routed_to_pb,0.00040878002823214777,"delta_f1=0.0010, verdict IMPROVED"
unified_happy_methodC,HG002,chr21:32-44Mb,exact_disagreement_count,cascade_vs_pb_disagreeing_loci,3,"of 10975654 scored loci; all 3 unrouted (router did not route them); 1 additional TP rescue, 2 additional FP -- from experimental/unified_happy/ROOT_CAUSE_ANALYSIS.md Sec.12"
