claim,evidence_file,experiment,sample,region,metric,value,status,notes
FROZEN_BINOMIAL_THRESHOLD = 7.0,cascade.py:33-36,router freeze,HG002,"chr21:32-40Mb validation blocks 1,5",threshold,7.0,VERIFIED_RAW,"Fit on validation blocks (1.91 Mb, 2,410 SNP), ~15x; source: router-freeze worktree devlog 11 s3, 13 s5"
FROZEN_PB_THRESHOLD = 10.5,cascade.py:33-36,router freeze,HG002,chr21:32-40Mb validation blocks,threshold,10.5,VERIFIED_RAW,Validation F1-maximizing (worktree devlog 12 s3); equals binomial-v1 threshold 10.5 of a different region (coincidence)
FROZEN_ROUTER_CUTOFF = 5.411872376933351,cascade.py:33-36,router freeze,HG002,chr21:32-40Mb validation,cutoff,5.411872376933351,VERIFIED_REPORT,"0.1% validation quantile of -|LLR-7|; pre-registered rule; main devlog 11 s2 gives conflicting derivation (F-beta, training split) - worktree record used"
Constants never refit; cascade.py sha256 identical,research/REPRODUCIBILITY.md; research/PEER_REVIEW_SELF_AUDIT.md Q3,HG005 fix + v16-v19,all,-,sha256 cascade.py,b0ee9f4b24fe06dc4d677ca80fdd9bedaa9885e52038679812f1f550c5286131,VERIFIED_REPORT,Also method_c_regression.py b5cea1f1...
HG002 chr21:32-44Mb hap.py region contains the 8 Mb used to fit constants,History (router-freeze worktree) 11_DEVLOG s2; experimental/unified_happy/UNIFIED_HAPPY_BENCHMARK.md,U-H2,HG002,chr21:32-44Mb,overlap,32-40Mb of 32-44Mb,VERIFIED_REPORT,Only chr21:40-44Mb is outside
"Router band = [1.588, 12.412]",cascade.py:45-58,-,-,-,band,7.0 +/- 5.4119,VERIFIED_RAW,arithmetic
"v13: PB-only F1 0.98162, cascade F1 0.98172, dF1 0.000103 [0.0000,0.00022]","research/BENCHMARK_MASTER.csv; History/13_DEVLOG.md s13,s17",v13,HG002,chr21 13 regions,pooled F1 / dF1,"PB 0.98162; cascade 0.98172; dF1 0.000103; CI [0.0000,0.00022]",VERIFIED_REPORT,loci 24583412; SNP 33893; routed 0.001084; disagreements 15; lost true SNP 0; verdict PRESERVED (12/13); internal evaluator
"v14: PB-only F1 0.955726, cascade F1 0.956306, dF1 0.000581 [0.000075,0.001089]",results/bench_v14/summary.md; History/14_DEVLOG.md s9-s17,v14,HG002,4 windows x3 depths,pooled F1 / dF1,"PB 0.955726; cascade 0.956306; dF1 0.000581; CI [0.000075,0.001089]",VERIFIED_REPORT,loci 10368078; SNP 12261; routed 0.000704; disagreements 41; lost true SNP 5; verdict NEGATIVE pre-reg (pooled IMPROVED); internal evaluator
"v15: PB-only F1 0.925079, cascade F1 0.927766, dF1 0.002686 [0.001968,0.003414]",results/bench_v15/summary.md; History/15_DEVLOG.md s12,v15,HG002,chr16/15/7/14 held-out,pooled F1 / dF1,"PB 0.925079; cascade 0.927766; dF1 0.002686; CI [0.001968,0.003414]",VERIFIED_REPORT,loci 9498705; SNP 10863; routed 0.000581; disagreements 80; lost true SNP 1; verdict IMPROVED cascade vs PB; internal evaluator
"v16: PB-only F1 0.9946, cascade F1 0.994565, dF1 -3.49e-05 [-0.000171,0.0000703]",results/bench_v16/summary.md; History/16_DEVLOG.md,v16,HG002,chr13:70-73Mb,pooled F1 / dF1,"PB 0.9946; cascade 0.994565; dF1 -3.49e-05; CI [-0.000171,0.0000703]",VERIFIED_REPORT,loci 8726751; SNP 14274; routed 0.000392; disagreements 3; lost true SNP 0; verdict PRESERVED; internal evaluator
"v17: PB-only F1 0.94807, cascade F1 0.949962, dF1 0.001892 [0.001250,0.002615]",results/bench_v17/summary.md; History/17_DEVLOG.md,v17,HG002,chr17:18-21Mb,pooled F1 / dF1,"PB 0.94807; cascade 0.949962; dF1 0.001892; CI [0.001250,0.002615]",VERIFIED_REPORT,loci 7400175; SNP 8484; routed 0.000582; disagreements 38; lost true SNP 2; verdict IMPROVED; internal evaluator
"v18: PB-only F1 0.993751, cascade F1 0.994013, dF1 0.000262 [0.000076,0.000483]",results/bench_v18/summary.md; History/18_DEVLOG.md,v18,HG003,chr13:70-73Mb,pooled F1 / dF1,"PB 0.993751; cascade 0.994013; dF1 0.000262; CI [0.000076,0.000483]",VERIFIED_REPORT,loci 8699208; SNP 13266; routed 0.000409; disagreements 7; lost true SNP 0; verdict IMPROVED; internal evaluator
"v19: PB-only F1 0.986405, cascade F1 0.987419, dF1 0.001014 [0.000787,0.001254]; block [0.000520,0.001601]",results/bench_v19/benchmark_results.json; VALIDATION_ROUND_2.md s10-s14,v19,HG004,chr2/3/5,pooled F1 / dF1,"PB 0.986405; cascade 0.987419; dF1 0.001014; CI [0.000787,0.001254]; block [0.000520,0.001601]",VERIFIED_REPORT,loci 25336365; SNP 38340; routed 0.000409; disagreements 87; lost true SNP 1; verdict IMPROVED; internal evaluator
v14 pre-registered overall verdict is NEGATIVE (chr20 full cell DEGRADED on 2 extra FPs),History/14_DEVLOG.md:946-961; results/bench_v14/summary.md,v14,HG002,chr20:33-34Mb full,dF1,-0.001262,VERIFIED_REPORT,"CI [-0.003849,+0.001228]; dossier BENCHMARK_MASTER/RESULTS.md show only pooled IMPROVED"
"v15 'WEAK POSITIVE / NEGATIVE' verdict belongs to safety-layer arms, not cascade vs PB","results/bench_v15/summary.md:197,208; History/15_DEVLOG.md:970-990",v15,HG002,held-out,verdict,frozen_full B WEAK POSITIVE; frozen_lean D NEGATIVE,VERIFIED_REPORT,research/BENCHMARK_MASTER.csv and RESULTS.md mis-attribute to cascade
