experiment,date,label,mode,threads,rep,cache,region,wall_s,user_s,sys_s,maxrss_kb,n_loci,n_routed,n_cascade_calls,notes
slice_bench,2026-09-24,generic_sse2,cascade,1,1,warm,chr20:31818624-32398272,5.83,5.68,0.11,94428,524288,6,437,""
slice_bench,2026-09-24,generic_sse2,cascade,1,2,warm,chr20:31818624-32398272,5.84,5.65,0.13,94348,524288,6,437,""
slice_bench,2026-09-24,generic_sse2,cascade,1,3,warm,chr20:31818624-32398272,5.99,5.75,0.16,94444,524288,6,437,""
slice_bench,2026-09-24,generic_sse2,pb_all,1,1,warm,chr20:31818624-32398272,10.17,9.97,0.12,94368,524288,6,437,""
slice_bench,2026-09-24,generic_sse2,pb_all,1,2,warm,chr20:31818624-32398272,10.66,10.37,0.11,94304,524288,6,437,""
slice_bench,2026-09-24,generic_sse2,pb_all,1,3,warm,chr20:31818624-32398272,10.62,10.41,0.11,94488,524288,6,437,""
slice_bench,2026-09-24,avx2_fma,cascade,1,1,warm,chr20:31818624-32398272,6.06,5.89,0.10,94388,524288,6,437,""
slice_bench,2026-09-24,avx2_fma,cascade,1,2,warm,chr20:31818624-32398272,6.26,6.08,0.12,94376,524288,6,437,""
slice_bench,2026-09-24,avx2_fma,cascade,1,3,warm,chr20:31818624-32398272,6.27,6.03,0.12,94272,524288,6,437,""
slice_bench,2026-09-24,avx2_fma,pb_all,1,1,warm,chr20:31818624-32398272,10.58,10.33,0.12,94488,524288,6,437,""
slice_bench,2026-09-24,avx2_fma,pb_all,1,2,warm,chr20:31818624-32398272,11.20,10.84,0.11,94304,524288,6,437,""
slice_bench,2026-09-24,avx2_fma,pb_all,1,3,warm,chr20:31818624-32398272,13.40,12.29,0.18,94168,524288,6,437,""
slice_bench,2026-09-24,scale_ts256,cascade,1,1,warm,chr20:31818624-32398272,5.82,5.65,0.09,94168,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,cascade,1,2,warm,chr20:31818624-32398272,5.97,5.74,0.10,94464,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,cascade,1,3,warm,chr20:31818624-32398272,5.98,5.80,0.11,94384,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,cascade,2,1,warm,chr20:31818624-32398272,3.76,6.16,0.11,106440,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,cascade,2,2,warm,chr20:31818624-32398272,3.86,6.34,0.12,106564,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,cascade,2,3,warm,chr20:31818624-32398272,3.81,6.21,0.15,106452,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,cascade,4,1,warm,chr20:31818624-32398272,2.80,6.79,0.17,130604,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,cascade,4,2,warm,chr20:31818624-32398272,2.83,7.28,0.27,130928,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,cascade,4,3,warm,chr20:31818624-32398272,2.53,6.42,0.13,130788,524288,6,437,"--task-windows 256"
slice_bench,2026-09-24,scale_ts256,cascade,8,1,warm,chr20:31818624-32398272,2.44,8.37,0.25,179004,524288,6,437,"--task-windows 256"
