experiment_id,measurement_type,region,region_mb,configuration,wall_seconds,speedup_vs_baseline,measured_or_extrapolated,note
chtslib_extraction_stage,extraction_stage_only,chr1:1000001-4000000,3,pure_python_pysam_OLD,373.11,1.0,MEASURED,"pileup_counts.load_counts, single non-chunked call, this session, apples-to-apples with the NEW row below (2403648 loci both)"
chtslib_extraction_stage,extraction_stage_only,chr1:1000001-4000000,3,native_C_htslib_NEW,17.74,21.03,MEASURED,"Same call, same loci count, native path (default when built). 0 mismatches vs OLD (verified via load_counts native ON/OFF toggle, this session)."
chtslib_extraction_stage,extraction_stage_only,chr21:32000000-32200000,0.2,pure_python_pysam_OLD,16.14,1.0,MEASURED,"HG002, this session's independent re-verification"
chtslib_extraction_stage,extraction_stage_only,chr21:32000000-32200000,0.2,native_C_htslib_NEW,0.54,29.9,MEASURED,"0 mismatches vs OLD"
chtslib_extraction_stage,extraction_stage_only,chr21:32000000-44000000,12,pure_python_pysam_OLD,1092.07,1.0,MEASURED,"ORIGINAL source worktree measurement (.claude/worktrees/agent-a4cedfdeffb76e3dd/experimental/performance/PERFORMANCE_OPTIMIZATION_REPORT.md Sec.8), full 12Mb HG002 chr21:32-44M benchmark region -- not re-run at this exact scale in this session (would take ~18min OLD-side); reused because Sec.7's 0/109,813,120-cell full-region equivalence proof means a re-run would necessarily reproduce it (deterministic function of identical inputs, itself independently re-confirmed at smaller scale in this session)."
chtslib_extraction_stage,extraction_stage_only,chr21:32000000-44000000,12,native_C_htslib_NEW,16.76,65.14,MEASURED,"Same source; ORIGINAL measurement, reused for the reason above. This is the figure the '~65x' claim refers to -- real, not fabricated, but scoped to the extraction stage only (see full_pipeline rows below for why this is not automatically the end-to-end number)."
full_pipeline_extract_bench_v12,end_to_end_chunked_pipeline,chr1:1000001-4000000,3,pure_python_pysam_OLD,1392.0,1.0,MEASURED,"extract_bench_v12.py --features none, full run: load_counts(344s)+load_reads(696s)+PB(351s)+feat(0s)=1391s~=1392s wall. 2403008 loci."
full_pipeline_extract_bench_v12,end_to_end_chunked_pipeline,chr1:1000001-4000000,3,native_C_htslib_NEW,1140.0,1.221,MEASURED,"Same extract_bench_v12.py run, native load_counts as the ONLY change (verified: cache is byte-identical to OLD -- counts/labels/positions/pb_llr/binomial_llr/depth all np.array_equal=True). Breakdown: load_counts(15s, was 344s -- 22.9x on this stage) + load_reads(775s, unaccelerated, ~same as OLD's 696s within run-to-run noise) + PB(349s, unaccelerated, ~same as OLD's 351s) + feat(0s) = 1139s~=1140s (19.0min) wall. Real end-to-end speedup for THIS pipeline configuration: 1392/1140=1.221x -- modest, because load_reads+PB (unaccelerated) are 1124s of the 1139s NEW total (98.7%)."
htslib_thread_scaling,extraction_io_stage,chr21:0-2000000,2,htslib_threads=1,15.25,1.0,MEASURED,"A DIFFERENT, separate mechanism from the C extension above: pysam's threads= kwarg (htslib-internal BGZF-decompression threading only), from an unrelated worktree's experiment. Not integrated (and not worth integrating -- see next row)."
htslib_thread_scaling,extraction_io_stage,chr21:0-2000000,2,htslib_threads=8,16.00,0.95,MEASURED,"NO speedup from htslib internal BGZF-decompression threading alone -- slightly SLOWER at 8 threads than 1. Do not confuse this null result with the C-extension result above; they are different mechanisms measured in different experiments."
multiprocess_chunking,extraction_process_parallelism,chr21:0-600000,0.6,single_process,34.90,1.0,MEASURED,"A THIRD, separate mechanism: splits the region into N chunks, N OS processes, each running the pure-Python extractor (pre-dates the C-extension work). Not integrated into production; superseded in practical value by the C extension, which is faster and needs no multiprocessing."
multiprocess_chunking,extraction_process_parallelism,chr21:0-600000,0.6,n_workers=8,11.25,3.10,MEASURED,"counts_and_labels_identical=true vs single-process (correctness gate passed). Sub-linear, and much smaller than the C-extension's single-process speedup."
whole_genome_projection,extrapolation,whole_genome_~3.1Gb,3100,native_C_htslib_load_counts_only,,,EXTRAPOLATION,"17.74s/3Mb-equivalent x (3100/3) = ~6.1 hours for load_counts alone, IF the C extension's small-region timing held linearly to genome scale (it does not necessarily -- coverage/complexity vary by region) AND ignoring the unaccelerated load_reads/PB stages entirely. NEVER attempted; NOT a measured result; order-of-magnitude only."
whole_genome_projection,extrapolation,whole_genome_~3.1Gb,3100,full_pipeline_pure_python_OLD,,,EXTRAPOLATION,"7.73 min/Mb x 3,100 Mb = ~399 hours (~16.6 days) single-threaded, full pipeline. NEVER attempted; NOT a measured result."
