Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1789570611.155	     2.819	0	59	0	0	python3 /opt/bin/scripts/../clair3.py CallVarBam     --chkpnt_fn /opt/models/ilmn/pileup     --bam_fn /bam/hg002_chr21_32_44M_15x.bam     --call_fn /out/tmp/pileup_output/pileup_chr21_2.vcf     --sampleName HG002     --ref_fn /ref/chr21_chrname.fa     --extend_bed /out/tmp/split_beds/chr21     --bed_fn      --vcf_fn EMPTY     --ctgName chr21     --chunk_id 2     --chunk_num 10     --platform ilmn     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.08     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --base_err 0.001     --gq_bin_size 5     --enable_long_indel False     --python python3     --pypy pypy3     --samtools samtools     --temp_file_dir /out/tmp/gvcf_tmp_output     --keep_iupac_bases False     --cmd_fn /out/tmp/CMD     --pileup
3	:	1789570611.165	     6.911	0	59	0	0	python3 /opt/bin/scripts/../clair3.py CallVarBam     --chkpnt_fn /opt/models/ilmn/pileup     --bam_fn /bam/hg002_chr21_32_44M_15x.bam     --call_fn /out/tmp/pileup_output/pileup_chr21_3.vcf     --sampleName HG002     --ref_fn /ref/chr21_chrname.fa     --extend_bed /out/tmp/split_beds/chr21     --bed_fn      --vcf_fn EMPTY     --ctgName chr21     --chunk_id 3     --chunk_num 10     --platform ilmn     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.08     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --base_err 0.001     --gq_bin_size 5     --enable_long_indel False     --python python3     --pypy pypy3     --samtools samtools     --temp_file_dir /out/tmp/gvcf_tmp_output     --keep_iupac_bases False     --cmd_fn /out/tmp/CMD     --pileup
1	:	1789570611.152	     6.953	0	59	0	0	python3 /opt/bin/scripts/../clair3.py CallVarBam     --chkpnt_fn /opt/models/ilmn/pileup     --bam_fn /bam/hg002_chr21_32_44M_15x.bam     --call_fn /out/tmp/pileup_output/pileup_chr21_1.vcf     --sampleName HG002     --ref_fn /ref/chr21_chrname.fa     --extend_bed /out/tmp/split_beds/chr21     --bed_fn      --vcf_fn EMPTY     --ctgName chr21     --chunk_id 1     --chunk_num 10     --platform ilmn     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.08     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --base_err 0.001     --gq_bin_size 5     --enable_long_indel False     --python python3     --pypy pypy3     --samtools samtools     --temp_file_dir /out/tmp/gvcf_tmp_output     --keep_iupac_bases False     --cmd_fn /out/tmp/CMD     --pileup
4	:	1789570613.979	     4.884	0	59	0	0	python3 /opt/bin/scripts/../clair3.py CallVarBam     --chkpnt_fn /opt/models/ilmn/pileup     --bam_fn /bam/hg002_chr21_32_44M_15x.bam     --call_fn /out/tmp/pileup_output/pileup_chr21_4.vcf     --sampleName HG002     --ref_fn /ref/chr21_chrname.fa     --extend_bed /out/tmp/split_beds/chr21     --bed_fn      --vcf_fn EMPTY     --ctgName chr21     --chunk_id 4     --chunk_num 10     --platform ilmn     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.08     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --base_err 0.001     --gq_bin_size 5     --enable_long_indel False     --python python3     --pypy pypy3     --samtools samtools     --temp_file_dir /out/tmp/gvcf_tmp_output     --keep_iupac_bases False     --cmd_fn /out/tmp/CMD     --pileup
5	:	1789570618.084	     3.863	0	59	0	0	python3 /opt/bin/scripts/../clair3.py CallVarBam     --chkpnt_fn /opt/models/ilmn/pileup     --bam_fn /bam/hg002_chr21_32_44M_15x.bam     --call_fn /out/tmp/pileup_output/pileup_chr21_5.vcf     --sampleName HG002     --ref_fn /ref/chr21_chrname.fa     --extend_bed /out/tmp/split_beds/chr21     --bed_fn      --vcf_fn EMPTY     --ctgName chr21     --chunk_id 5     --chunk_num 10     --platform ilmn     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.08     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --base_err 0.001     --gq_bin_size 5     --enable_long_indel False     --python python3     --pypy pypy3     --samtools samtools     --temp_file_dir /out/tmp/gvcf_tmp_output     --keep_iupac_bases False     --cmd_fn /out/tmp/CMD     --pileup
6	:	1789570618.113	     6.938	0	59	0	0	python3 /opt/bin/scripts/../clair3.py CallVarBam     --chkpnt_fn /opt/models/ilmn/pileup     --bam_fn /bam/hg002_chr21_32_44M_15x.bam     --call_fn /out/tmp/pileup_output/pileup_chr21_6.vcf     --sampleName HG002     --ref_fn /ref/chr21_chrname.fa     --extend_bed /out/tmp/split_beds/chr21     --bed_fn      --vcf_fn EMPTY     --ctgName chr21     --chunk_id 6     --chunk_num 10     --platform ilmn     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.08     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --base_err 0.001     --gq_bin_size 5     --enable_long_indel False     --python python3     --pypy pypy3     --samtools samtools     --temp_file_dir /out/tmp/gvcf_tmp_output     --keep_iupac_bases False     --cmd_fn /out/tmp/CMD     --pileup
7	:	1789570618.872	    41.543	0	59	0	0	python3 /opt/bin/scripts/../clair3.py CallVarBam     --chkpnt_fn /opt/models/ilmn/pileup     --bam_fn /bam/hg002_chr21_32_44M_15x.bam     --call_fn /out/tmp/pileup_output/pileup_chr21_7.vcf     --sampleName HG002     --ref_fn /ref/chr21_chrname.fa     --extend_bed /out/tmp/split_beds/chr21     --bed_fn      --vcf_fn EMPTY     --ctgName chr21     --chunk_id 7     --chunk_num 10     --platform ilmn     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.08     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --base_err 0.001     --gq_bin_size 5     --enable_long_indel False     --python python3     --pypy pypy3     --samtools samtools     --temp_file_dir /out/tmp/gvcf_tmp_output     --keep_iupac_bases False     --cmd_fn /out/tmp/CMD     --pileup
10	:	1789570660.422	   118.572	0	59	0	0	python3 /opt/bin/scripts/../clair3.py CallVarBam     --chkpnt_fn /opt/models/ilmn/pileup     --bam_fn /bam/hg002_chr21_32_44M_15x.bam     --call_fn /out/tmp/pileup_output/pileup_chr21_10.vcf     --sampleName HG002     --ref_fn /ref/chr21_chrname.fa     --extend_bed /out/tmp/split_beds/chr21     --bed_fn      --vcf_fn EMPTY     --ctgName chr21     --chunk_id 10     --chunk_num 10     --platform ilmn     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.08     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --base_err 0.001     --gq_bin_size 5     --enable_long_indel False     --python python3     --pypy pypy3     --samtools samtools     --temp_file_dir /out/tmp/gvcf_tmp_output     --keep_iupac_bases False     --cmd_fn /out/tmp/CMD     --pileup
9	:	1789570625.057	   227.460	0	59	0	0	python3 /opt/bin/scripts/../clair3.py CallVarBam     --chkpnt_fn /opt/models/ilmn/pileup     --bam_fn /bam/hg002_chr21_32_44M_15x.bam     --call_fn /out/tmp/pileup_output/pileup_chr21_9.vcf     --sampleName HG002     --ref_fn /ref/chr21_chrname.fa     --extend_bed /out/tmp/split_beds/chr21     --bed_fn      --vcf_fn EMPTY     --ctgName chr21     --chunk_id 9     --chunk_num 10     --platform ilmn     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.08     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --base_err 0.001     --gq_bin_size 5     --enable_long_indel False     --python python3     --pypy pypy3     --samtools samtools     --temp_file_dir /out/tmp/gvcf_tmp_output     --keep_iupac_bases False     --cmd_fn /out/tmp/CMD     --pileup
8	:	1789570621.955	   231.440	0	59	0	0	python3 /opt/bin/scripts/../clair3.py CallVarBam     --chkpnt_fn /opt/models/ilmn/pileup     --bam_fn /bam/hg002_chr21_32_44M_15x.bam     --call_fn /out/tmp/pileup_output/pileup_chr21_8.vcf     --sampleName HG002     --ref_fn /ref/chr21_chrname.fa     --extend_bed /out/tmp/split_beds/chr21     --bed_fn      --vcf_fn EMPTY     --ctgName chr21     --chunk_id 8     --chunk_num 10     --platform ilmn     --fast_mode False     --snp_min_af 0.08     --indel_min_af 0.08     --minMQ 5     --minCoverage 2     --call_snp_only False     --gvcf False     --base_err 0.001     --gq_bin_size 5     --enable_long_indel False     --python python3     --pypy pypy3     --samtools samtools     --temp_file_dir /out/tmp/gvcf_tmp_output     --keep_iupac_bases False     --cmd_fn /out/tmp/CMD     --pileup
