check,scope,result,detail
V2 control reproduced by V2.x binary (no model): cascade VCF byte-identical to frozen V1 VCF,"full chr20, 56,266,816 loci",PASS,cmp of VCF with feature layer ON (REGRESS run) and OFF (control run)
"3,491-locus gate, V2.x binary without model","3,491 loci",PASS,"17/17 field checks, 0 mismatches incl. 1,340,544 V1 tensor bytes; PB LLR bit-exact (max|d|=0)"
Feature dump unchanged by PbStore refactor,"163,705 candidates x 60 columns",PASS,cmp of TSV before/after refactor: byte-identical
PB(48) from the new PB path == V2 routed PB,674 routed candidates,PASS,"bit-identical doubles, max|d|=0"
"Model path B(cap48) (stump, no veto) == V2 control",full chr20,PASS,VCF body byte-identical to V2 control
C++ unit tests (pb_llr_n vs pb_native_v2 vs pb_reference; PB variants; model parse/logit/veto),"20,000 random loci + hand-built cases",PASS,tests/test_v2x.cpp; logit matches Python to 1e-12
Cheap read-evidence features vs independent pysam re-implementation,"300 candidate loci x 16 features (4,800 comparisons)",PASS,0 mismatches (tests/test_features_pysam.py)
Local-context features vs independent re-implementation,80 loci x 16 features,PASS (with documented edge effect),"76 loci exact; 4 loci differ only in lmr25/depth_ratio25/dinuc10 and all lie 3-14 bp from a task start (context is truncated at task edges; deterministic, task partition is thread-independent)"
Engine calls == offline (independent numpy/sklearn) decisions,"15 models, full chr20, in-BED calls",PASS,"0 only-engine, 0 only-expected calls for all 15 (logs: work/gate_engine_vs_offline.log)"
Non-candidate loci (k<3) decisions == V2 control,15 models,PASS,the one non-candidate control call is identical in every model
"Determinism: VCF body md5 identical across 1/2/4/8 threads, cold/warm, 3 repetitions","5 models timed (control, A, C, A+C, A+B+C+D)",PASS,1 unique md5 per model over all 28 timing runs
"Locus evaluator == real hap.py 0.3.15 (TP, FP, FN)","15 models, full chr20",PASS,"15/15 identical; used only for bootstrap and offline ablation, all reported metrics are real hap.py"
hap.py reproduces V2 control metrics (podman instead of docker),full chr20,PASS,TP 70012 FP 2649 FN 1321 F1 0.972429 FP.gt 38 FP.al 159 = archived V2 hap.py run
